date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn,ratio_ri
2018-02-28,23:02:45.193571,5500,2800,2631859.11586015,1E-05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.15726157037717
2018-02-28,23:02:55.831474,5000,2800,2968777.26631136,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.4334239887798
2018-02-28,23:03:06.644737,5250,2800,2783403.07491578,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.28147793025883
2018-02-28,23:03:17.492695,5500,2800,2608124.06930303,1E-05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.13780661418281
2018-02-28,23:03:23.717613,5000,2800,2885461.2734627,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.36513219136287
2018-02-28,23:03:35.063085,5250,2800,2844474.99618782,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.33153688212117
2018-02-28,23:03:42.747439,5500,2800,2645124.73136119,0.01,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.16813502570589
2018-02-28,23:03:50.686083,5000,2800,2824160.45507331,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.31488561891255
2018-02-28,23:03:59.817810,5250,2800,2677396.96259255,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.19458767425619
2018-02-28,23:04:07.283952,5500,2800,2599522.67847683,0.01,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.13075629383347
2018-02-28,23:04:16.211792,5000,2800,2838301.42054327,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.3264765742158
2018-02-28,23:04:25.015242,5250,2800,2666785.93534891,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.18589011094173
2018-02-28,23:04:32.800640,5500,2800,2569134.18501897,0.01,0.025,0.16,0.8,0.05,0.01,2E+016,100,800,2.1058476926385
2018-02-28,23:04:43.085367,5000,2800,2851882.90679512,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.337608939996
2018-02-28,23:04:52.985866,5250,2800,2625795.70817241,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.15229156407575
2018-02-28,23:05:01.097104,5500,2800,2516541.63410141,0.01,0.05,0.16,0.8,0.05,0.01,2E+016,100,800,2.06273904434542
2018-02-28,23:05:09.349757,5000,2800,2886916.78145783,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.36632523070314
2018-02-28,23:05:17.015284,5250,2800,2642360.98306784,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,2.16586965825233
2018-02-28,23:05:24.266451,5500,2800,2381788.0570117,0.025,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800,1.95228529263254
2018-02-28,23:05:33.024032,5000,2800,2841685.45106851,0.025,0.01,0.16,0.8,0.05,0.01,2E+016,100,800,2.32925036972829
