Time-date,time,T_cmb0,deltaT0,r_i,X_Mg_0,X_Si_0,X_O_0,fraction_MgFe_b,X_MgFeO_b,X_SiO2_b,nu_present,layer_thickness,overturn
2018-02-18,16:57:11.675077,5000,2800,2643252.57597124,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:57:48.988079,5250,2800,2232425.56865725,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:58:17.635499,5500,2800,1765115.94066371,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:58:44.061598,5750,2800,1701723.67809787,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:59:07.324917,6000,2800,1709829.33489422,0.025,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,16:59:38.310909,5000,2800,2764517.16431469,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:03.456850,5250,2800,2472407.94665507,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:28.729719,5500,2800,2107875.30725465,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:00:55.106769,5750,2800,1605363.49756966,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:01:19.357561,6000,2800,872338.001484404,0.05,1E-05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:02:11.452900,5000,2800,2714027.6374191,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:02:52.593426,5250,2800,2404042.15994545,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:03:27.872035,5500,2800,2011903.6350864,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:04:00.548259,5750,2800,1428610.74992295,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:04:22.499927,6000,2800,0,0.05,0.01,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:05:05.400169,5000,2800,2677976.56680633,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:05:45.696794,5250,2800,2330721.79192982,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:06:22.286651,5500,2800,1945900.54986859,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:06:52.350719,5750,2800,1189452.66392711,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:07:12.501412,6000,2800,0,0.05,0.025,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:07:55.690756,5000,2800,2641785.53740101,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:08:35.960940,5250,2800,2248824.3609211,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:09.063016,5500,2800,1756630.86001354,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:36.860907,5750,2800,878342.853434264,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:09:57.555849,6000,2800,0,0.05,0.05,0.16,0.8,0.05,0.01,2E+016,100,800
2018-02-18,17:10:32.181468,5000,2800,2135139.19183107,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:04.210613,5250,2800,1754161.84358052,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:34.747729,5500,2800,1242583.61693972,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:11:59.938207,5750,2800,0,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:12:21.800965,6000,2800,0,1E-05,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:12:59.085206,5000,2800,1991916.28793738,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:13:35.833227,5250,2800,1552968.76056879,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:14:09.206480,5500,2800,883599.152726922,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:14:33.881889,5750,2800,0,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:15:01.019578,6000,2800,0,1E-05,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:15:41.521249,5000,2800,1988446.07552495,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:16:13.026146,5250,2800,1510045.07335283,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:16:44.730712,5500,2800,734905.150665052,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:17:13.843381,5750,2800,0,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:17:41.678928,6000,2800,0,1E-05,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:18:25.214051,5000,2800,2010728.91194603,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:19:07.376229,5250,2800,1513874.63282673,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:19:43.464190,5500,2800,673697.101243735,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:20:15.743385,5750,2800,0,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:20:45.211798,6000,2800,0,1E-05,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:21:11.958970,5000,2800,1903613.54660027,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:21:47.639363,5250,2800,1704754.33976809,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:22:11.076845,5500,2800,1074405.61861116,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:22:27.418359,5750,2800,0,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:22:42.450149,6000,2800,0,0.01,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:23:15.103115,5000,2800,1756755.20552792,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:23:42.333761,5250,2800,819777.743708851,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:23:59.739141,5500,2800,0,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:24:15.159938,5750,2800,0,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:24:31.135730,6000,2800,0,0.01,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:25:04.155018,5000,2800,1742341.99443089,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:25:30.692581,5250,2800,847472.053250054,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:25:47.855728,5500,2800,0,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:26:02.402246,5750,2800,0,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:26:19.376926,6000,2800,0,0.01,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:26:57.465492,5000,2800,1764616.3064684,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:27:25.131130,5250,2800,881811.883948844,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:27:43.335718,5500,2800,0,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:27:59.516948,5750,2800,0,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:28:14.429306,6000,2800,0,0.01,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:28:41.376271,5000,2800,3480000,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:29:10.651528,5250,2800,1243733.28807472,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:29:27.135245,5500,2800,0,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:30:00.718660,5750,2800,0,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:30:17.995272,6000,2800,0,0.025,1E-05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:30:59.573462,5000,2800,1785469.33235701,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:31:31.340011,5250,2800,938758.217005579,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:31:51.251296,5500,2800,0,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:32:08.964863,5750,2800,0,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:32:22.382902,6000,2800,0,0.025,0.01,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:33:04.261197,5000,2800,1749078.65128548,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:33:35.455291,5250,2800,763810.641965696,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:33:55.332137,5500,2800,0,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:34:13.330621,5750,2800,0,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:34:28.644442,6000,2800,0,0.025,0.025,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:35:10.560303,5000,2800,1738404.83832115,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:35:46.294020,5250,2800,623834.790564095,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
2018-02-18,17:36:08.579870,5500,2800,0,0.025,0.05,0.16,0.8,0.05,0.01,2E+017,100,800
